Title,Artist,kinki,love,success,hard,need,feel,day,new,gone,heart,boy,realli,real,think,would,thing,one,hold,sdanger,bitch,leav,danger,around,talk,run,keep,nigga,live,sweet,world,alway,successt,eye,parti,wait,bodi,made,noth,show,bad,turn,long,home,light,hand,work,nigparti,caheart,walk,Emotion
All Girls Are The Same,Juice WRLD,5,20,4,2,3,6,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
All Mine,Kanye West,10,4,1,0,0,1,0,0,0,2,0,0,0,1,1,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Back To You,Selena Gomez,3,3,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Be Careful,Cardi B,2,12,17,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,4,2,0,0,0,1,0,1,6,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Beautiful Crazy,Luke Combs,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Better Now,Post Malone,1,2,1,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,16,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Boo'd Up,Ella Mai,1,17,0,0,1,4,0,6,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Call Out My Name,The Weeknd,2,13,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2
Chun-Li,Nicki Minaj,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,2,1,0,0,2,0,0,0,0,3,0,0,4,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,4
Cudi Montage,KIDS SEE GHOSTS,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,15,0,0,0,0,0,8
Delicate,Taylor Swift,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2
Dura,Daddy Yankee,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Esskeetit,Lil Pump,2,2,12,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,1,17,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,8
Fake Love,BTS,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
Feel The Love,KIDS SEE GHOSTS,0,19,1,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Fire,KIDS SEE GHOSTS,0,2,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,0,4,0,0,0,15,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11
Friends,Marshmello & Anne-Marie,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,1
Get Along,Kenny Chesney,0,4,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,2,1,3,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,11
God's Plan,Drake,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,8,1,0,0,0,0,0,0,0,0,4
Heaven,Kane Brown,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
I Like It,"Cardi B, Bad Bunny & J Balvin",3,2,5,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,1,4,0,17,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,5
I Like Me Better,Lauv,1,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1
I Lived It,Blake Shelton,0,6,2,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,1,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,11
I Was Jack (You Were Diane),Jake Owen,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,11
I'm Upset,Drake,5,2,3,0,1,1,0,0,0,2,0,0,1,1,0,1,0,0,3,0,0,0,1,0,1,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,10
IDGAF,Dua Lipa,1,6,3,0,5,0,0,0,3,1,8,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
In My Blood,Shawn Mendes,0,0,0,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
Japan,Famous Dex,1,24,2,0,3,0,0,1,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
KIDS SEE GHOSTS,KIDS SEE GHOSTS,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8
KOD,J. Cole,0,5,14,12,0,1,0,0,0,12,0,0,0,2,1,0,2,0,15,2,0,1,1,0,1,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,4
Lose It,Kane Brown,0,15,1,0,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1
Love Lies,Khalid & Normani,0,17,6,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2
Lovely,Billie Eilish & Khalid,1,4,0,0,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,2
Lucid Dreams,Juice WRLD,7,26,0,0,0,1,0,0,0,0,0,0,0,1,0,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7
Meant To Be,Bebe Rexha & Florida Georgia Line,0,16,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Mercy,Brett Young,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,0,1,0,0,1,0,1,0,2
Mine,Bazzi,0,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,5,2,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,2
Never Be The Same,Camila Cabello,3,1,0,0,6,2,0,0,1,0,0,0,0,1,6,0,7,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
New Rules,Dua Lipa,3,7,0,0,0,1,0,11,0,7,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Nice For What,Drake,1,5,19,2,0,13,1,0,0,1,1,3,2,0,0,1,2,2,1,0,0,8,0,1,0,1,0,6,0,0,0,0,0,5,0,0,1,0,0,2,0,1,0,0,0,1,4,0,0,5
No Tears Left To Cry,Ariana Grande,0,0,10,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
One Kiss,Calvin Harris & Dua Lipa,7,9,0,0,8,8,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
One Number Away,Luke Combs,8,4,1,0,0,1,0,0,0,5,0,0,0,0,0,0,7,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
OTW,"Khalid, Ty Dolla $ign & 6LACK",0,2,13,0,1,0,16,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
Overdose,YoungBoy Never Broke Again,6,2,5,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,8,9,0,11,1,0,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,10
Perfect,Ed Sheeran,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Plug Walk,Rich The Kid,5,4,10,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,8,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,10
Powerglide,Rae Sremmurd & Juicy J,7,7,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6,3,1,5,1,0,0,0,2,0,0,0,1,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,5
Pray For Me,The Weeknd & Kendrick Lamar,0,1,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Reborn,KIDS SEE GHOSTS,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,7
Sad!,XXXTENTACION,0,4,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Simple,Florida Georgia Line,0,2,1,1,5,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Sin Pijama,Becky G + Natti Natasha,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Singles You Up,Jordan Davis,0,10,0,0,0,2,0,0,0,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11
Sit Next To Me,Foster The People,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tequila,Dan + Shay,4,9,1,1,5,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4
The Middle,"Zedd, Maren Morris & Grey",0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
This Is America,Childish Gambino,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
Violent Crimes,Kanye West,3,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,14,0,0,8
Wait,Maroon 5,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,1,12,0,0,0,0,12,0,0,0,8
Whatever It Takes,Imagine Dragons,0,9,4,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,9,0,11
"Woman, Amen",Dierks Bentley,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6
X,Nicky Jam x J Balvin,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Yes Indeed,Lil Baby & Drake,1,3,13,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,5
Yikes,Kanye West,1,1,3,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,7,0,1,2,1,1,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,4
You Make It Easy,Jason Aldean,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4
Youngblood,5 Seconds Of Summer,0,3,0,0,12,0,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8
Zombie,Bad Wolves,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
Africa,Weezer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Finesse,Bruno Mars & Cardi B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
I Thought About Killing You,Kanye West,1,11,2,1,1,3,1,0,0,4,0,4,0,5,1,2,2,0,3,0,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,6
Lust,Lil Skies,1,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7
Must've Never Met You,Luke Combs,0,2,0,2,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
No Mistakes,Kanye West,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
Paranoid,Post Malone,1,0,4,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2
Rich & Sad,Post Malone,1,2,16,0,0,0,0,0,2,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,7
All The Stars,Kendrick Lamar & SZA,0,7,0,0,0,10,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Everyday,Logic & Marshmello,0,0,1,9,0,0,12,0,0,2,0,1,2,2,0,0,0,1,4,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,9,0,0,0,4
For The First Time,Darius Rucker,5,6,0,0,3,7,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
High Hopes,Panic! At The Disco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
If You Know You Know,Pusha T,0,0,2,0,0,0,0,1,0,1,12,0,0,0,0,2,3,0,2,0,0,2,2,0,0,1,1,0,1,0,0,1,1,1,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,2
Infrared,Pusha T,1,2,1,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",15,3,6,0,1,1,2,0,0,0,0,2,0,0,0,0,0,6,1,7,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,8
Moonlight,XXXTENTACION,0,3,0,0,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,4
Most People Are Good,Luke Bryan,0,6,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,1,1,0,3,1,2,0,1,0,6
Ric Flair Drip,Offset & Metro Boomin,2,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,5,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,7
The Games We Play,Pusha T,0,3,9,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,3,1,0,8
ATM,J. Cole,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Change Lanes,Kevin Gates,1,0,8,1,3,0,6,0,0,2,0,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,8
Don't Go Breaking My Heart,Backstreet Boys,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Downtown's Dead,Sam Hunt,5,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,9
Kevin's Heart,J. Cole,2,4,3,0,0,1,0,2,0,4,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Let It Sing,Kevin Gates,1,0,11,0,0,0,1,1,0,3,0,3,0,4,1,0,0,0,1,3,1,1,1,0,0,1,14,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Like That,Kris Wu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
No Excuses,Meghan Trainor,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Outside Today,YoungBoy Never Broke Again,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Sangria Wine,Pharrell Williams x Camila Cabello,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7
Southside,Lil Baby,2,1,25,0,0,0,0,2,1,4,0,0,0,0,0,0,1,0,1,8,0,3,0,0,2,0,10,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Stay,Post Malone,0,1,0,0,0,0,6,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
92 Explorer,Post Malone,1,19,10,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,13,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7
Cry Pretty,Carrie Underwood,0,2,0,0,0,10,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,2
