"title","artist","date","energy","liveness","tempo","speechiness","acousticness","genre"
"All Girls Are The Same","Juice WRLD","6/21/18","0.529","0.0856","161.989","0.307","0.0769","1"
"All Mine","Kanye West","6/21/18","0.308","0.0933","122.099","0.338","0.125","2"
"Back To You","Selena Gomez","6/21/18","0.724","0.12","102.061","0.0486","0.0945","3"
"Be Careful","Cardi B","6/21/18","0.568","0.0952","152.279","0.411","0.0256","4"
"Beautiful Crazy","Luke Combs","6/21/18","0.402","0.0928","103.313","0.0262","0.676","5"
"Better Now","Post Malone","6/21/18","0.563","0.136","145.028","0.0454","0.354","4"
"Boo'd Up","Ella Mai","6/21/18","0.779","0.078","81.965","0.0531","0.0862","3"
"Call Out My Name","The Weeknd","6/21/18","0.599","0.327","134.144","0.0369","0.211","6"
"Chun-Li","Nicki Minaj","6/21/18","0.766","0.107","97.092","0.384","0.307","3"
"Cudi Montage","KIDS SEE GHOSTS","6/21/18","0.504","0.121","110.011","0.0321","0.401","7"
"Delicate","Taylor Swift","6/21/18","0.404","0.0911","95.045","0.0682","0.216","3"
"Dura","Daddy Yankee","6/21/18","0.803","0.434","94.981","0.0468","0.188","8"
"Esskeetit","Lil Pump","6/21/18","0.506","0.0933","139.974","0.161","0.022","9"
"Fake Love","BTS","6/21/18","0.719","0.306","77.501","0.0372","0.00267","10"
"Feel The Love","KIDS SEE GHOSTS","6/21/18","0.469","0.099","110.573","0.104","0.126","7"
"Fire","KIDS SEE GHOSTS","6/21/18","0.751","0.182","104.999","0.16","0.472","7"
"Freeee (Ghost Town, Pt. 2)","KIDS SEE GHOSTS","6/21/18","0.81","0.158","151.643","0.0632","0.00457","7"
"Get Along","Kenny Chesney","6/21/18","0.805","0.172","92.401","0.0473","0.0997","5"
"God's Plan","Drake","6/21/18","0.449","0.552","77.169","0.109","0.0332","11"
"Heaven","Kane Brown","6/21/18","0.556","0.105","80.009","0.0306","0.263","5"
"I Like Me Better","Lauv","6/21/18","0.505","0.104","91.97","0.253","0.535","12"
"I Lived It","Blake Shelton","6/21/18","0.571","0.101","80.981","0.0281","0.476","5"
"I Was Jack (You Were Diane)","Jake Owen","6/21/18","0.878","0.0505","94.014","0.0452","0.0875","5"
"I'm Upset","Drake","6/21/18","0.592","0.0831","149.953","0.333","0.263","11"
"IDGAF","Dua Lipa","6/21/18","0.544","0.0824","97.028","0.0943","0.0403","4"
"In My Blood","Shawn Mendes","6/21/18","0.711","0.125","139.967","0.0706","0.0544","6"
"Japan","Famous Dex","6/21/18","0.678","0.344","175.985","0.438","0.121","13"
"KIDS SEE GHOSTS","KIDS SEE GHOSTS","6/21/18","0.597","0.195","100.051","0.037","0.339","7"
"KOD","J. Cole","6/21/18","0.782","0.113","141.869","0.15","0.21","14"
"Lose It","Kane Brown","6/21/18","0.869","0.29","91.988","0.0289","0.00261","5"
"Lucid Dreams","Juice WRLD","6/21/18","0.566","0.34","83.903","0.2","0.349","1"
"Mercy","Brett Young","6/21/18","0.367","0.0999","71.957","0.0266","0.84","5"
"Mine","Bazzi","6/21/18","0.789","0.451","142.929","0.0722","0.0161","4"
"Never Be The Same","Camila Cabello","6/21/18","0.713","0.137","129.923","0.0747","0.181","3"
"New Rules","Dua Lipa","6/21/18","0.7","0.153","116.073","0.0694","0.00261","4"
"Nice For What","Drake","6/21/18","0.913","0.114","93.35","0.0736","0.0934","11"
"No Tears Left To Cry","Ariana Grande","6/21/18","0.696","0.274","121.969","0.0529","0.0375","3"
"One Number Away","Luke Combs","6/21/18","0.781","0.191","144.075","0.0311","0.00585","5"
"Overdose","YoungBoy Never Broke Again","6/21/18","0.845","0.638","90.015","0.352","0.224","9"
"Perfect","Ed Sheeran","6/21/18","0.299","0.123","94.992","0.0263","0.779","4"
"Plug Walk","Rich The Kid","6/21/18","0.587","0.118","94.978","0.262","0.15","4"
